Altium Designer Pick and Place Locations
C:\Users\Aaron\Documents\mini_Rambo\Mini-Rambo\board\Project Outputs for Mini-Rambo_r2.2\Einy_2.2a.csv

========================================================================================================================
File Design Information:

Date:       08/03/17
Time:       12:20
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J1","2-1437667-9","TopLayer","CON-Barrier-6-8.26mm","92.786","35.509","90",""
"U1","Atmega32u2","TopLayer","QFN32_050050","20.212","43.847","90","Atmega32u2"
"U3","LM25011MY/NOPB","TopLayer","VSSOP10","81.551","60.771","180","REG BUCK"
"U7","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","53.975","15.749","0",""
"U6","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","29.489","15.749","0",""
"U5","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","18.059","15.749","0",""
"U4","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","6.696","16.664","0",""
"FB5","120R","TopLayer","FB0603","15.824","38.989","360","FERRITE BEAD 120 OHM 0603 1LN"
"C74","100nF","TopLayer","C0402","16.024","40.157","180","CAP CER 0402 100nF 16V 10% X7R"
"R76","100R","TopLayer","R0402","24.154","55.296","180","RES SMD 100 OHM 1% 1/16W 0402"
"R75","100R","TopLayer","R0402","22.173","56.337","180","RES SMD 100 OHM 1% 1/16W 0402"
"R74","100R","TopLayer","R0402","18.210","55.956","180","RES SMD 100 OHM 1% 1/16W 0402"
"R67","100R","TopLayer","R0402","54.738","51.562","360","RES SMD 100 OHM 1% 1/16W 0402"
"R60","100R","TopLayer","R0402","32.081","55.220","360","RES SMD 100 OHM 1% 1/16W 0402"
"R59","100R","TopLayer","R0402","30.098","55.245","180","RES SMD 100 OHM 1% 1/16W 0402"
"R55","100R","TopLayer","R0402","34.060","55.245","180","RES SMD 100 OHM 1% 1/16W 0402"
"R54","100R","TopLayer","R0402","37.617","53.417","90","RES SMD 100 OHM 1% 1/16W 0402"
"R53","100R","TopLayer","R0402","38.989","53.517","270","RES SMD 100 OHM 1% 1/16W 0402"
"R52","100R","TopLayer","R0402","37.997","55.245","180","RES SMD 100 OHM 1% 1/16W 0402"
"J18","Molex 70543-03","TopLayer","70543-03","35.006","60.006","360","3 Positions Header, Shrouded Connector 0.100" (2.54mm) Through Hole Gold"
"J17","Molex 70543-03","TopLayer","70543-03","24.506","60.006","360","3 Positions Header, Shrouded Connector 0.100" (2.54mm) Through Hole Gold"
"J16","Molex 70543-03","TopLayer","70543-03","14.006","60.006","360","3 Positions Header, Shrouded Connector 0.100" (2.54mm) Through Hole Gold"
"J15","Molex 70543-03","TopLayer","70543-03","35.006","66.006","180","3 Positions Header, Shrouded Connector 0.100" (2.54mm) Through Hole Gold"
"J14","Molex 70543-03","TopLayer","70543-03","24.506","66.006","180","3 Positions Header, Shrouded Connector 0.100" (2.54mm) Through Hole Gold"
"J13","Molex 70543-03","TopLayer","70543-03","14.006","66.006","180","3 Positions Header, Shrouded Connector 0.100" (2.54mm) Through Hole Gold"
"J12","Molex 0705430003","TopLayer","4POL254","55.016","4.016","180","Molex 4 Pin Clip Connector"
"J11","Molex 0705430003","TopLayer","4POL254","42.006","4.006","180","Molex 4 Pin Clip Connector"
"J10","Molex 0705430003","TopLayer","4POL254","42.006","11.006","180","Molex 4 Pin Clip Connector"
"J9","Molex 0705430003","TopLayer","4POL254","29.006","4.006","180","Molex 4 Pin Clip Connector"
"J8","Molex 0705430003","TopLayer","4POL254","16.006","4.006","180","Molex 4 Pin Clip Connector"
"J7","CONN 2PIN VERT 0.1" SHRD LOCKING","TopLayer","70543-02","63.881","53.416","90","Connector 2pos"
"J6","CONN 2PIN VERT 0.1" SHRD LOCKING","TopLayer","70543-02","60.106","29.606","270","Connector 2pos"
"J5","Molex 70543-03","TopLayer","70543-03","66.269","33.604","90","3 Positions Header, Shrouded Connector 0.100" (2.54mm) Through Hole Gold"
"J4","Molex 70543-03","TopLayer","70543-03","66.294","44.120","90","3 Positions Header, Shrouded Connector 0.100" (2.54mm) Through Hole Gold"
"J3","CONN 2PIN VERT 0.1" SHRD LOCKING","TopLayer","70543-02","60.106","37.506","270","Connector 2pos"
"J2","CONN 2PIN VERT 0.1" SHRD LOCKING","TopLayer","70543-02","60.106","45.406","270","Connector 2pos"
"C46","100nF","TopLayer","C0402","69.033","69.342","180","CAP CER 0402 100nF 16V 10% X7R"
"C44","100nF","TopLayer","C0402","39.214","69.748","180","CAP CER 0402 100nF 16V 10% X7R"
"LED5","5988110107F","TopLayer","LED2012120","74.498","36.305","90","LED 0805 Red"
"R33","1K","TopLayer","R0402","68.325","51.232","180","RES SMD 1K OHM 1% 1/16W 0402"
"D35","BAT54","TopLayer","SOD523_IPC","70.104","53.137","90","Diode Schottky 30V 100mA Surface Mount SOD-523"
"D34","BAT54","TopLayer","SOD523_IPC","71.958","33.223","180","Diode Schottky 30V 100mA Surface Mount SOD-523"
"D33","BAT54","TopLayer","SOD523_IPC","71.958","32.055","360","Diode Schottky 30V 100mA Surface Mount SOD-523"
"D15","BAT54","TopLayer","SOD523_IPC","70.104","50.698","90","Diode Schottky 30V 100mA Surface Mount SOD-523"
"D14","BAT54","TopLayer","SOD523_IPC","54.737","33.680","360","Diode Schottky 30V 100mA Surface Mount SOD-523"
"Q2","NCV8402AD","TopLayer","NCV8402AD-SOIC8","72.873","45.613","180",""
"R50","100K","TopLayer","R0402","72.238","50.265","270","RES 100K OHM 1% 1/16W 0402"
"R49","100K","TopLayer","R0402","74.549","50.265","270","RES 100K OHM 1% 1/16W 0402"
"R48","22R","TopLayer","R0402","71.196","50.265","270","RES SMD 22 OHM 1% 1/16W 0402"
"C17","100nF","TopLayer","C0402","62.488","25.095","360","CAP CER 0402 100nF 16V 10% X7R"
"Q1","PSMN7R0-60YS,115","TopLayer","SOT669","71.882","12.895","90","Mosfet N-channel 60V 356A 117W 9.3mOhms"
"C90","100nF","TopLayer","C0603","11.252","21.488","90","CAP CER 0603 100nF 50V 10% X7R"
"C91","22nF","TopLayer","C0402","11.053","19.660","360","CAP CER 0402 22nF ±10% 50V X7R"
"C92","100nF","TopLayer","C0402","8.861","20.879","180","CAP CER 0402 100nF 16V 10% X7R"
"C93","0603","TopLayer","C0603","50.063","28.067","360","CAP CER 10UF 6.3V 10% JB 0603"
"C94","100nF","TopLayer","C0402","3.099","14.533","90","CAP CER 0402 100nF 16V 10% X7R"
"C95","100nF","TopLayer","C0402","11.100","18.030","270","CAP CER 0402 100nF 16V 10% X7R"
"C96","1uF","TopLayer","C0402","11.045","16.408","180","CAP CER 0402 1uF 6.3V 10% X5R"
"C97","1nF","TopLayer","C0603","14.935","7.874","180","CAP CER 0603  1nF 50v 10% X7R"
"C98","1nF","TopLayer","C0603","12.376","7.874","180","CAP CER 0603  1nF 50v 10% X7R"
"C99","100nF","TopLayer","C0603","7.087","23.901","270","CAP CER 0603 100nF 50V 10% X7R"
